Name,Comment,Likes,Time,Reply Count
@DJPapzin,"🎯 Key Takeaways for quick navigation:

00:00 *🌿 Introduction to Cannabis and Sleep*
- Introduction to cannabis use and its prevalence,
- Personal interest in cannabis and sleep,
- Questions about the impact of cannabis on sleep.
00:42 *🌙 Positive Effects of THC on Sleep*
- THC helps decrease sleep onset latency,
- Benefits for people with insomnia, depression, and PTSD,
- Improved sleep duration and quality with occasional use.
02:07 *🧠 Benefits of CBD on Sleep*
- CBD may aid in body temperature regulation and adenosine interaction,
- Potential reduction in anxiety and promotion of restful sleep,
- Research is still early, with dose-dependent effects.
03:00 *🚫 Negative Effects of THC on Sleep*
- THC's impact on REM sleep, reducing its duration and intensity,
- Consequences like impaired cognitive abilities and increased grogginess,
- REM rebound effects and withdrawal symptoms.
05:07 *😴 Cannabis Use and Sleep Disturbances*
- Chronic users experience more sleep disturbances,
- Higher likelihood of insomnia and irregular sleep durations,
- Correlation vs. causation in sleep issues related to cannabis use.
06:31 *🏥 Health Implications of Poor Sleep*
- Optimal sleep duration and risks of deviating from it,
- Long-term health risks associated with insufficient or excessive sleep,
- The need for more research to determine causality.
07:14 *✋ Personal Reflection and Conclusion*
- Personal experience of improved rest after reducing cannabis use,
- Importance of moderation and taking breaks,
- Encouragement for audience interaction and further resources.

Made with HARPA AI",0,2024-05-28T16:31:47Z,0
@jermainejennings1514,Sooo is this what they tittle “Fake News”???,0,2024-05-27T04:08:41Z,0
@BetterqQoL,"Changing up the Strain, and even the brand of your favorite products, Can I have a beneficial effect Regarding sleep deprivation.

And it’s not unusual for people to do this from time to time. From sleep Science Studies our brains find way to self adjust, not just our sleep cycles, but literally everything that occurs in our body and brain.",0,2024-05-26T20:59:01Z,0
@karammouelhi8190,Don’t trust media and the industry of drugs and cannabis is growing sooooo fast … all what you will hear in future is cannabis is good for health for mental and maybe for success also … wake up young men,0,2024-05-26T15:37:32Z,0
@karammouelhi8190,Beef Meat not good egg make cholesterol .. soil and seed oil is better than butter and ghee this era is finished the new era now is drugs cannabis and hashish is good for health Im a Moroccan and we have the purest and highest quality of cannabis the most expensive quality you find in Europe .. even though it destroyed all people I know my brother my uncles they never wanted to work or be productive all they want is chilling .. other make families and companies and good careers but till this moment they are still chilling with their joints in their hands living in an illusional world out of reality,0,2024-05-26T15:34:45Z,0
@d.w.stratton4078,"5:40 My question of this study is: what % of the insomniac students were using marijuana BECAUSE they had insomnia and were trying to treat it? That's a major potentially confounding factor, because it would be wrong to conclude that they were having insomnia BECAUSE they used marijuana when in fact the converse was true: they were using marijuana BECAUSE they had insomnia. That's a pretty common reason for weed use in moderation and would heavily skew the study if misinterpreted.",0,2024-05-26T15:33:30Z,0
@Xycbe,"High as hell in bed and tbh 
Yeah I see patterns rn and I feel like I’m traveling to a waiting room like with chairs n shit",0,2024-05-23T04:51:33Z,0
@jase4270,Weed is so easy to give up the easiest by far,1,2024-05-23T03:41:55Z,0
@Roquea.207,Change it for the better,0,2024-05-22T13:47:48Z,0
@suicidetorecovery9775,"I cannot sleep at all without my medical cannabis. There is the issue with my tolerance though. I consume such a sheer amount of pot now that it takes a lot more to get me medicated. Nothing a good tolerance break doesn't fix, but then if I quit I have lower threshold for seizures. I dream still, I just have no memories. The moment I wake up I immediately forget. Memory is such a fickle thing. Once a pon a midnight dreary, I had an eidetic memory.. Pot never interfered with my sleep before, and I have been a patient since I was twenty. This all sounds like anti-cannabis propaganda to me Sir.",0,2024-05-21T21:22:26Z,0
@ayangjibrut,"dia ini sebenernya apa sih? gak keliatan kaya bule jadi kayanya bukan bule deh, india juga bukan, latin bukan, eurasia gak mungkin, arab apalagi, campuran kah? BTW, CBD is considered as halal, and THC is haram, period. that is all I know..",0,2024-05-21T12:32:41Z,0
@nio731,"All weed did was make my problems worse. I am quitting after ten years and when I sleep I can feel things around me move and I can’t move, I have sleep paralysis and it’s very scary and I wish I never smoked weed",1,2024-05-21T07:08:44Z,0
@BTRG,The Metabolisms are similar but not totally sure.,0,2024-05-20T18:24:16Z,0
@MariaPCastro,"I am 26 and have been smoking weed since I was 15 ish. I’m 27 days sober TODAY. I’m glad I watched this video, I was kinda curious about sleep as I’ve noticed a huge difference in my relationship with sleep since I stopped smoking. Last night I had a WILD dream and prior to deciding that I needed to quit smoking, I can’t remember the last time I actually dreamt…which is super weird. Also I would constantly take naps during the day but now I feel more energized and don’t need those naps anymore. Totally unrelated but everyone tells me I look different, granted I have lost some weight (the munchies were killing me lol) but I’ve also been told that I look much brighter - idk just what I’ve been hearing. I’m still debating whether I want to completely quit or just smoke maybe once a month or so. The only downside is I have been one of those people who can just smoke after work or whatever, I think if I go back to smoking, it will be even harder to quit again. So leaning towards never smoking again and maybe I need new friends 😅",1,2024-05-19T18:29:06Z,0
@user-gd1ng7dj7u,The last part is solid,0,2024-05-19T14:52:15Z,0
@voyager8187,Thanks mannnn,0,2024-05-19T08:53:33Z,0
@markweston3345,"Every time I smoke, I get really bad sleep and bad mood on days five and six after the smoke, really weird but it’s very consistent and I think the bad mood come from the bad sleep but was never sure why it was was always day five and six.",0,2024-05-18T16:34:16Z,0
@rulito12301,"well yes and no. I have been smoking for arround 30 years, it did help for TBI accident I had. Marihuana is not healthy unless you use it for medical purpuses. On those 30 years it has helped me with my fears and recover of the TBI, although I have never had a dream in 30 years. Quiting a few months ago I started dreaming again. Also, smoking regularly damadged my cognitive and memory capacity, leaving me with memory problems I cant recover. I cant even get concentrated on a conversation, and I dont use other substances or drugs. Lastly, smoking marihuana before age 25 causes brain damadge, this has been proven already. So, yes, use it for medical purpuses but no, not for recreational use, it is adictive and very hard to quit. Thanks for the video",0,2024-05-17T22:10:57Z,0
@Tr3Vatos,Ever since ive stopped smoking weed my body odor has changed. Anyone else?,0,2024-05-17T11:11:19Z,0
@wallywally8449,Well I'm smoking my weed right now before I go to sleep.... Its great,0,2024-05-17T04:37:00Z,1
@npme77,M O R O N,0,2024-05-28T04:56:55Z,
@Joferna,"personally i have serious issues with insomnia ever since i was young (might not b related but my parents say i was always hard to put to sleep, harder than most babies at least). i just came from holiday in amsterdam n i haven't slept this well in a while. my guess, based on this video n my own experience (as valuable as that is) is: for ppl with severe insomnia it could b a good alternative to sleeping meds tho, like sleeping meds not to b used too frequently",0,2024-05-15T23:02:27Z,0
@HexedArcher,"Dam, that's a terrible dye job 😂",0,2024-05-15T00:16:49Z,0
@artem98rus,You're definitely getting better sleep. even if the sleep lasted only 5 hours,0,2024-05-14T16:08:33Z,2
@artem98rus,"and in my experience, I only dream if I follow the regime. The rest of the time, even if I was under something or not, it's very rare to dream about something.",0,2024-05-14T16:10:10Z,
@artem98rus,"And even with annual breaks. I have not observed a problem with insomnia. You just don't get tired during the day, and when you come home, you lie on the couch, thereby again doing nothing and so on until the evening. Of course, it's hard to sleep after that.
And of course, all this is purely individual)",0,2024-05-14T16:14:28Z,
@johanncandelo296,I’m high right now,0,2024-05-14T11:13:58Z,0
@ryanfowler3285,I had night terros and then full insomnia until i was 18. Halloween 2007 is the first time i slept peacefully snd i never stopped smoking.,0,2024-05-14T10:06:45Z,0
@COOLMASTER2000,im so proud of you,1,2024-05-14T05:03:48Z,0
@seraph82,I needed to hear this. Thank you.,0,2024-05-14T01:52:19Z,0
@ryancronk6762,Weird I've been smoking for 17 years. I a normal amount and have an internal clock and dream like crazy every night. Love waking up early smoking and having a coffee to the sunrise and than work and smoke all day. It's your mindset I hate when they call a pothead lazy.,0,2024-05-14T01:19:55Z,0
@ashliveslife4261,"this made me think and I have to use weed for nerve pain, anxiety and depression, Was on 3 different medications and was a total zombie, and it started effecting my heart. I'm 2 months on weed, my sleep has tanked, but it has become deeper. I wasnt sleeping at all. I think this is going to change how I consume and just like caffeine maybe not take it too close to bedtime as to have less impact on my sleep. unless I cant sleep. I have stopped binging and having fun with it, it seems to be way more beneficial when consistently taken. I do miss the days trippin but its better this way. All I want is peace. 
edit: I wrote this as I was smoking getting ready for bed. Haha, tomorrow night. I'm sure someone will remind me of this pledge tomorrow. lol",0,2024-05-13T17:50:55Z,0
@user-bv6uk3nj7x,"This happens when you smoke weed 
https://youtu.be/DPOMqG8LNGs?si=9T273LsKmKVIHlCL",0,2024-05-13T15:42:11Z,0
@temalagova2663,"i've seen ppl in videos saying the 7 to 9 hours of sleep being the most efficient is actually not real, and its more like every person is different and some ppl need 9h, some 7h, some only 5. it was based on a single study and now there are new studies about the subject that disprove the 7-9h theory",0,2024-05-13T12:49:17Z,0
@robert123ahrens,"I was born in the Netherlands, yes that Netherlands with Amsterdam in it. Smoked weed for 10+ years and slowly but surely my live was becoming more and more unmanageable.
My weed dependency grew and grew started getting a lot more psychological issues until 10 years ago. Where I quit, sins then I have been on a path of recovery.

I don't belief weed is the big bad, but it was for me. Like some people have with alcohol. I my self know I can't smoke weed, but alcohol never became a problem for me.
Just wish there was a bigger warning back in the day for me, that weed is actually addictive even though we where always told it was not. (given this was 20 years ago and we know more now then we did back then.)",0,2024-05-13T10:52:12Z,0
@JoshuaAdam269,"me, high, watching this at 4:21 am, unable to sleep.",1,2024-05-13T09:21:38Z,0
@BigJ57,Cool video bro! Thanks,0,2024-05-13T01:46:16Z,0
@Anth13,say what you want you do not sleep better stoned and i’ve been a stoned 20 years now and will still admit weed does NOT give you better sleep at all 💯.. infact i think it could be time to quit the 💩,0,2024-05-13T01:26:40Z,0
@sunshineblueskyznc,"I have graves disease, and it causes severe insomnia.  THC helps all my symptoms.  I experience a lot of rage (graves rage- it's a thing...) and THC calms me down.",0,2024-05-13T00:55:22Z,0
@jordanvdark,"i love weed science and overall drug science. when i started using (although do note this was age 17-19 and after a massive life change) my sleep suddenly just, flipped. i was sleeping at 8-10pm - 4-7am on average. after daily use.",0,2024-05-12T22:33:13Z,0
@basanttyagi7516,aww he cute! very useful info too,0,2024-05-12T22:30:43Z,0
@lancefielden,"I consume THC daily and I sleep well, no change in dreams. I've always slept well, I'm pretty healthy, 52 yrs old. Long time THC user. I use it for anxiety and generally well being. If I consume enough to feel high or stoned, I've spent too much money, I've attacked the cupboards and fridge and it was accidental, usually unregulated edibles or someone keeps passing it around, never at home, during normal circumstances. It's not entertaining to get stupid anymore, I thought I liked it years ago. It's good medicine and general spirit lifter. Great for arthritis discomfort, not a painkiller though. NSAIDS and Tylenol for that.",0,2024-05-12T17:54:52Z,0
@remicaron3191,"If you need a research paper to figure out if smoking weed makes you sleep better or worse, you are what I call and idiot. All these studies are done on small groups who are meaningless for the average person. Why don’t YOU figure out what YOU need and stop looking for mommy and daddy to tell you what to do. 
  If you’re tired because you using weed to sleep maybe stop. If you feel great because you’re smoking weed continue. A study is just over anxious people believing their have discovered something which is visible in more over anxious people. Relax live your life and expect to go where we all go, in a hole in the ground. Live as you want without ruining other peoples lives.",0,2024-05-12T13:21:27Z,0
@The_Hagseed,"Yeah..... but like you said,  the study was based on ""students"". I'm willing to bet that a study on blue collar manual labor 50 year olds would have different results.",0,2024-05-12T12:10:53Z,0
